code,*Tooltip
Skill-rand209,\+(\d+) to Shadow Master \(Assassin only\)
Skill-rand210,\+(\d+) to Phoenix Strike \(Assassin only\)
levelreq,(?:Required|reouired) Level: (\d+)
ethereal,Ethereal
oskill,(\+\d+) to [Skill]
oskill1,\+(\d+) to Arctic Blast
oskill2,\+(\d+) to Battle Command
oskill3,\+(\d+) to Battle Cry
oskill4,\+(\d+) to Battle Orders
oskill5,\+(\d+) to Berserk
oskill6,\+(\d+) to Critical Strike
oskill7,\+(\d+) to Feral Rage
oskill8,\+(\d+) to Fire Mastery
oskill9,\+(\d+) to Fire Wall
oskill10,\+(\d+) to Fire Ball
oskill11,\+(\d+) to Guided Arrow
oskill12,\+(\d+) to Hydra
oskill13,\+(\d+) to Inferno
oskill14,\+(\d+) to Lycanthropy
oskill15,\+(\d+) to Meteor
oskill16,\+(\d+) to Teleport
oskill17,\+(\d+) to Valkyrie
oskill18,\+(\d+) to Warmth
oskill19,\+(\d+) to Vengeance
oskill20,\+(\d+) to Werebear
oskill21,\+(\d+) to Werewolf
oskill22,\+(\d+) to Whirlwind
oskill23,\+(\d+) to Zeal
randclassskill,(\+\d+)to [Class] Skill Levels
def,Defense: (\d+)
reqdex,Required Dexterity: (\d+)
reqstr,Required Strength: (\d+)
wpnclass,(\w+) class (.*)
classonly,\((.+) only\)
beltsize,belt size: \\+(\d+)
chancetoblock,Chance to Block: (\d+)%
smitedmg,Smite Damage: (\d+) to (\d+)
kickdmg,Kick Damage: (\d+) to (\d+)
throwdmg,Throw Damage: (\d+) to (\d+)
1hdmg,(?:One-Hand Damage:|one-hhand damage:|one-hhandd damage:) (\d+) to (\d+)
qty,Quantity: (\d+)
